customerID,Recency,Frequency,Monetary,Cluster,Segment
12436,335,1,509.01,2,Lost / At-Risk Customers
12438,15,2,2906.85,0,Moderately Active / Potential Loyalists
12439,683,3,1089.18,2,Lost / At-Risk Customers
12440,488,3,768.15,2,Lost / At-Risk Customers
12441,485,1,173.55,2,Lost / At-Risk Customers
12443,881,1,485.31,2,Lost / At-Risk Customers
12445,23,3,426.48,0,Moderately Active / Potential Loyalists
12446,58,1,1002.31,0,Moderately Active / Potential Loyalists
12447,67,1,476.49,0,Moderately Active / Potential Loyalists
12448,45,1,449.45,0,Moderately Active / Potential Loyalists
12450,174,7,666.95,3,Best / Loyal Customers
12452,17,3,428.57,0,Moderately Active / Potential Loyalists
12453,135,1,707.09,0,Moderately Active / Potential Loyalists
12456,45,4,3153.89,0,Moderately Active / Potential Loyalists
12457,0,14,2472.31,3,Best / Loyal Customers
12458,72,4,1777.49,0,Moderately Active / Potential Loyalists
12459,606,1,454.36,2,Lost / At-Risk Customers
12460,457,1,326.65,2,Lost / At-Risk Customers
12461,125,2,826.88,0,Moderately Active / Potential Loyalists
12462,19,3,1168.79,0,Moderately Active / Potential Loyalists
12463,6,7,1303.63,3,Best / Loyal Customers
12464,11,8,1212.05,3,Best / Loyal Customers
12465,18,3,733.89,0,Moderately Active / Potential Loyalists
12466,683,1,56.73,2,Lost / At-Risk Customers
12467,365,2,0.0,1,Churned / Problematic / Inactive
12469,537,2,3070.54,2,Lost / At-Risk Customers
12470,690,1,211.95,2,Lost / At-Risk Customers
12473,54,9,2837.73,3,Best / Loyal Customers
12475,54,2,1149.64,0,Moderately Active / Potential Loyalists
12479,12,1,527.2,0,Moderately Active / Potential Loyalists
12485,530,1,708.1,2,Lost / At-Risk Customers
12486,609,1,1037.28,2,Lost / At-Risk Customers
12487,819,2,259.8,2,Lost / At-Risk Customers
12488,10,3,1298.66,0,Moderately Active / Potential Loyalists
12489,162,1,334.93,0,Moderately Active / Potential Loyalists
12491,333,1,460.4,2,Lost / At-Risk Customers
12492,106,3,715.21,0,Moderately Active / Potential Loyalists
12493,166,3,416.79,0,Moderately Active / Potential Loyalists
12494,10,17,1685.92,3,Best / Loyal Customers
12495,463,2,323.4,2,Lost / At-Risk Customers
12496,621,2,45.34,2,Lost / At-Risk Customers
12498,22,3,403.7,0,Moderately Active / Potential Loyalists
12499,561,1,393.72,2,Lost / At-Risk Customers
12501,162,2,2089.68,0,Moderately Active / Potential Loyalists
12503,192,2,0.0,1,Churned / Problematic / Inactive
12504,19,6,411.0,0,Moderately Active / Potential Loyalists
12505,38,3,908.0,0,Moderately Active / Potential Loyalists
12506,233,1,73.5,2,Lost / At-Risk Customers
12507,135,5,1797.31,0,Moderately Active / Potential Loyalists
12508,27,2,397.88,0,Moderately Active / Potential Loyalists
12509,285,1,176.5,2,Lost / At-Risk Customers
12511,415,2,3065.77,2,Lost / At-Risk Customers
12512,244,2,132.18,2,Lost / At-Risk Customers
12513,85,2,586.79,0,Moderately Active / Potential Loyalists
12514,268,2,1597.76,0,Moderately Active / Potential Loyalists
12515,354,1,383.7,2,Lost / At-Risk Customers
12516,4,4,2648.62,0,Moderately Active / Potential Loyalists
12517,29,6,2443.65,3,Best / Loyal Customers
12518,0,4,1717.75,0,Moderately Active / Potential Loyalists
12519,153,3,685.19,0,Moderately Active / Potential Loyalists
12520,37,6,2582.51,3,Best / Loyal Customers
12521,143,1,599.68,0,Moderately Active / Potential Loyalists
12522,40,2,192.72,0,Moderately Active / Potential Loyalists
12525,430,8,835.18,3,Best / Loyal Customers
12526,54,2,1039.58,0,Moderately Active / Potential Loyalists
12527,82,5,735.51,0,Moderately Active / Potential Loyalists
12528,10,8,1922.28,3,Best / Loyal Customers
12529,529,2,311.78,2,Lost / At-Risk Customers
12531,15,3,1899.05,0,Moderately Active / Potential Loyalists
12532,90,1,349.83,0,Moderately Active / Potential Loyalists
12533,404,6,1149.99,2,Lost / At-Risk Customers
12534,336,1,1089.18,2,Lost / At-Risk Customers
12535,92,2,716.35,0,Moderately Active / Potential Loyalists
12537,409,1,732.94,2,Lost / At-Risk Customers
12538,60,2,640.45,0,Moderately Active / Potential Loyalists
12541,60,3,981.18,0,Moderately Active / Potential Loyalists
12542,367,4,423.38,2,Lost / At-Risk Customers
12543,449,1,980.25,2,Lost / At-Risk Customers
12544,60,2,355.7,0,Moderately Active / Potential Loyalists
12545,76,2,1000.39,0,Moderately Active / Potential Loyalists
12546,47,3,1141.5,0,Moderately Active / Potential Loyalists
12547,198,3,383.58,0,Moderately Active / Potential Loyalists
12548,167,1,95.2,0,Moderately Active / Potential Loyalists
12549,374,6,1575.68,3,Best / Loyal Customers
12550,80,1,964.83,0,Moderately Active / Potential Loyalists
12551,358,1,168.0,2,Lost / At-Risk Customers
12552,40,2,437.82,0,Moderately Active / Potential Loyalists
12554,449,1,468.5,2,Lost / At-Risk Customers
12555,683,1,129.23,2,Lost / At-Risk Customers
12556,33,2,599.56,0,Moderately Active / Potential Loyalists
12558,301,1,269.96,2,Lost / At-Risk Customers
12559,311,3,536.21,2,Lost / At-Risk Customers
12560,101,3,1403.69,0,Moderately Active / Potential Loyalists
12561,69,1,238.85,0,Moderately Active / Potential Loyalists
12563,409,1,249.24,2,Lost / At-Risk Customers
12564,262,1,456.9,0,Moderately Active / Potential Loyalists
12565,282,2,131.17,2,Lost / At-Risk Customers
12566,73,2,346.7,0,Moderately Active / Potential Loyalists
12568,586,1,70.0,2,Lost / At-Risk Customers
12570,683,1,77.52,2,Lost / At-Risk Customers
12571,40,2,519.61,0,Moderately Active / Potential Loyalists
12572,48,3,1004.72,0,Moderately Active / Potential Loyalists
12573,228,5,717.41,0,Moderately Active / Potential Loyalists
12574,316,1,218.45,2,Lost / At-Risk Customers
12575,488,2,622.82,2,Lost / At-Risk Customers
12576,130,11,2083.87,3,Best / Loyal Customers
12577,243,9,1554.7,3,Best / Loyal Customers
12579,74,3,410.72,0,Moderately Active / Potential Loyalists
12580,159,2,1052.9,0,Moderately Active / Potential Loyalists
12581,40,1,197.71,0,Moderately Active / Potential Loyalists
12582,239,4,1980.4,0,Moderately Active / Potential Loyalists
12584,10,17,1693.5,3,Best / Loyal Customers
12585,223,4,1982.81,0,Moderately Active / Potential Loyalists
12586,18,5,2045.67,0,Moderately Active / Potential Loyalists
12587,301,1,144.0,2,Lost / At-Risk Customers
12588,40,5,938.98,0,Moderately Active / Potential Loyalists
12589,29,11,3094.17,3,Best / Loyal Customers
12591,318,3,1338.95,0,Moderately Active / Potential Loyalists
12592,66,8,1152.62,3,Best / Loyal Customers
12593,109,3,418.1,0,Moderately Active / Potential Loyalists
12595,505,1,299.02,2,Lost / At-Risk Customers
12596,36,2,618.27,0,Moderately Active / Potential Loyalists
12599,33,13,2296.72,3,Best / Loyal Customers
12601,39,7,673.76,3,Best / Loyal Customers
12602,0,1,153.12,0,Moderately Active / Potential Loyalists
12603,22,1,739.2,0,Moderately Active / Potential Loyalists
12604,80,2,254.18,0,Moderately Active / Potential Loyalists
12605,365,5,1225.45,2,Lost / At-Risk Customers
12606,683,1,21.0,2,Lost / At-Risk Customers
12607,0,2,0.0,1,Churned / Problematic / Inactive
12608,405,1,415.79,2,Lost / At-Risk Customers
12609,79,10,3417.86,3,Best / Loyal Customers
12610,23,7,2057.99,3,Best / Loyal Customers
12611,53,1,1193.32,0,Moderately Active / Potential Loyalists
12612,58,2,643.59,0,Moderately Active / Potential Loyalists
12614,160,1,315.6,0,Moderately Active / Potential Loyalists
12616,86,7,1045.35,3,Best / Loyal Customers
12617,60,1,352.98,0,Moderately Active / Potential Loyalists
12618,22,1,177.31,0,Moderately Active / Potential Loyalists
12619,17,14,3354.95,3,Best / Loyal Customers
12620,15,3,1339.41,0,Moderately Active / Potential Loyalists
12622,233,1,180.1,0,Moderately Active / Potential Loyalists
12624,107,2,641.13,0,Moderately Active / Potential Loyalists
12628,19,3,554.36,0,Moderately Active / Potential Loyalists
12629,365,2,1558.22,2,Lost / At-Risk Customers
12630,10,2,1270.88,0,Moderately Active / Potential Loyalists
12631,58,7,3452.27,3,Best / Loyal Customers
12632,521,4,738.88,2,Lost / At-Risk Customers
12634,460,2,490.0,2,Lost / At-Risk Customers
12635,31,4,2930.41,0,Moderately Active / Potential Loyalists
12638,182,2,921.49,0,Moderately Active / Potential Loyalists
12639,239,3,1312.37,0,Moderately Active / Potential Loyalists
12640,24,3,1174.58,0,Moderately Active / Potential Loyalists
12641,116,1,185.9,0,Moderately Active / Potential Loyalists
12642,26,3,1013.26,0,Moderately Active / Potential Loyalists
12644,305,6,1815.54,3,Best / Loyal Customers
12645,110,10,3499.1,3,Best / Loyal Customers
12646,50,1,731.69,0,Moderately Active / Potential Loyalists
12648,125,5,1097.0,0,Moderately Active / Potential Loyalists
12649,35,10,2258.5,3,Best / Loyal Customers
12651,100,5,365.3,0,Moderately Active / Potential Loyalists
12652,9,3,1011.58,0,Moderately Active / Potential Loyalists
12654,11,5,601.98,0,Moderately Active / Potential Loyalists
12655,365,1,261.35,2,Lost / At-Risk Customers
12657,12,5,1152.06,0,Moderately Active / Potential Loyalists
12658,19,1,686.05,0,Moderately Active / Potential Loyalists
12659,60,1,91.68,0,Moderately Active / Potential Loyalists
12660,12,1,245.1,0,Moderately Active / Potential Loyalists
12661,437,1,162.0,2,Lost / At-Risk Customers
12663,464,3,204.0,2,Lost / At-Risk Customers
12665,9,5,301.45,0,Moderately Active / Potential Loyalists
12666,360,2,1020.98,2,Lost / At-Risk Customers
12667,0,1,620.13,0,Moderately Active / Potential Loyalists
12669,3,4,1607.73,0,Moderately Active / Potential Loyalists
12671,371,1,2622.48,2,Lost / At-Risk Customers
12672,330,3,410.5,2,Lost / At-Risk Customers
12673,327,2,840.4,2,Lost / At-Risk Customers
12674,12,7,1922.26,3,Best / Loyal Customers
12675,431,4,933.55,2,Lost / At-Risk Customers
12676,25,12,2773.09,3,Best / Loyal Customers
12677,403,3,389.3,2,Lost / At-Risk Customers
12679,0,9,1058.67,3,Best / Loyal Customers
12680,31,3,613.36,0,Moderately Active / Potential Loyalists
12684,25,7,2283.63,3,Best / Loyal Customers
12685,29,6,2863.08,3,Best / Loyal Customers
12686,638,1,89.14,2,Lost / At-Risk Customers
12687,481,2,2138.91,2,Lost / At-Risk Customers
12689,26,2,1247.61,0,Moderately Active / Potential Loyalists
12690,206,1,389.01,0,Moderately Active / Potential Loyalists
12691,0,7,1170.4,3,Best / Loyal Customers
12692,372,1,110.95,2,Lost / At-Risk Customers
12693,5,11,1640.42,3,Best / Loyal Customers
12694,71,4,1839.45,0,Moderately Active / Potential Loyalists
12695,108,7,1407.12,3,Best / Loyal Customers
12696,509,3,801.15,2,Lost / At-Risk Customers
12697,22,5,939.02,0,Moderately Active / Potential Loyalists
12698,591,1,339.75,2,Lost / At-Risk Customers
12699,418,1,638.11,2,Lost / At-Risk Customers
12701,36,6,2446.41,3,Best / Loyal Customers
12702,20,1,219.0,0,Moderately Active / Potential Loyalists
12703,72,7,892.18,3,Best / Loyal Customers
12704,23,10,2220.84,3,Best / Loyal Customers
12706,683,1,-91.89,1,Churned / Problematic / Inactive
12707,292,1,603.42,2,Lost / At-Risk Customers
12710,202,4,1130.57,0,Moderately Active / Potential Loyalists
12711,524,2,1339.05,2,Lost / At-Risk Customers
12715,107,1,343.36,0,Moderately Active / Potential Loyalists
12716,134,1,677.9,0,Moderately Active / Potential Loyalists
12717,33,4,1258.91,0,Moderately Active / Potential Loyalists
12718,72,1,238.25,0,Moderately Active / Potential Loyalists
12719,30,2,246.75,0,Moderately Active / Potential Loyalists
12722,3,6,904.33,0,Moderately Active / Potential Loyalists
12723,17,4,647.79,0,Moderately Active / Potential Loyalists
12724,39,6,2109.28,3,Best / Loyal Customers
12725,415,4,2266.76,2,Lost / At-Risk Customers
12728,39,5,1070.17,0,Moderately Active / Potential Loyalists
12729,114,1,453.01,0,Moderately Active / Potential Loyalists
12730,551,1,829.25,2,Lost / At-Risk Customers
12732,180,1,236.26,0,Moderately Active / Potential Loyalists
12733,235,6,2326.82,3,Best / Loyal Customers
12734,353,3,639.65,2,Lost / At-Risk Customers
12735,192,2,779.57,0,Moderately Active / Potential Loyalists
12736,39,1,234.0,0,Moderately Active / Potential Loyalists
12738,666,1,155.35,2,Lost / At-Risk Customers
12739,79,4,2726.73,0,Moderately Active / Potential Loyalists
12740,153,1,427.6,0,Moderately Active / Potential Loyalists
12741,530,2,406.07,2,Lost / At-Risk Customers
12742,600,2,1185.02,2,Lost / At-Risk Customers
12743,135,2,540.13,0,Moderately Active / Potential Loyalists
12745,428,3,925.41,2,Lost / At-Risk Customers
12746,528,3,230.85,2,Lost / At-Risk Customers
12750,277,1,275.88,2,Lost / At-Risk Customers
12751,445,1,268.27,2,Lost / At-Risk Customers
12754,160,5,2949.12,3,Best / Loyal Customers
12756,87,1,112.08,0,Moderately Active / Potential Loyalists
12760,427,1,347.8,2,Lost / At-Risk Customers
12761,488,2,782.95,2,Lost / At-Risk Customers
12762,26,2,1898.52,0,Moderately Active / Potential Loyalists
12763,139,2,494.08,0,Moderately Active / Potential Loyalists
12764,317,1,1693.88,0,Moderately Active / Potential Loyalists
12765,473,6,1404.58,2,Lost / At-Risk Customers
12767,376,1,949.82,2,Lost / At-Risk Customers
12768,451,2,0.0,1,Churned / Problematic / Inactive
12769,239,1,1143.6,0,Moderately Active / Potential Loyalists
12770,211,7,2975.95,3,Best / Loyal Customers
12771,397,2,262.5,2,Lost / At-Risk Customers
12772,30,1,892.47,0,Moderately Active / Potential Loyalists
12773,565,2,0.0,1,Churned / Problematic / Inactive
12774,536,1,98.7,2,Lost / At-Risk Customers
12775,18,8,1651.32,3,Best / Loyal Customers
12776,434,1,55.5,2,Lost / At-Risk Customers
12777,488,1,519.45,2,Lost / At-Risk Customers
12778,20,10,1757.68,3,Best / Loyal Customers
12780,599,1,337.4,2,Lost / At-Risk Customers
12781,22,5,707.72,0,Moderately Active / Potential Loyalists
12783,54,7,1203.29,3,Best / Loyal Customers
12784,10,3,1763.15,0,Moderately Active / Potential Loyalists
12785,424,4,1085.55,2,Lost / At-Risk Customers
12786,462,1,728.5,2,Lost / At-Risk Customers
12787,10,5,859.18,0,Moderately Active / Potential Loyalists
12788,503,4,444.9,2,Lost / At-Risk Customers
12789,214,3,273.35,0,Moderately Active / Potential Loyalists
12790,193,3,563.45,0,Moderately Active / Potential Loyalists
12791,364,8,585.15,3,Best / Loyal Customers
12792,257,3,813.88,0,Moderately Active / Potential Loyalists
12793,100,3,885.53,0,Moderately Active / Potential Loyalists
12794,54,2,860.41,0,Moderately Active / Potential Loyalists
12795,19,1,430.48,0,Moderately Active / Potential Loyalists
12796,629,1,381.0,2,Lost / At-Risk Customers
12797,361,6,471.43,2,Lost / At-Risk Customers
12799,530,1,219.35,2,Lost / At-Risk Customers
12800,471,3,584.25,2,Lost / At-Risk Customers
12801,478,2,1031.87,2,Lost / At-Risk Customers
12802,95,9,2350.42,3,Best / Loyal Customers
12803,394,1,1092.81,2,Lost / At-Risk Customers
12804,466,2,325.37,2,Lost / At-Risk Customers
12805,382,4,1434.95,2,Lost / At-Risk Customers
12806,436,4,2878.96,2,Lost / At-Risk Customers
12807,383,3,269.95,2,Lost / At-Risk Customers
12808,126,5,776.7,0,Moderately Active / Potential Loyalists
12809,169,8,1705.34,3,Best / Loyal Customers
12810,535,2,534.99,2,Lost / At-Risk Customers
12811,261,5,1033.9,0,Moderately Active / Potential Loyalists
12812,45,1,229.64,0,Moderately Active / Potential Loyalists
12813,431,3,1687.8,2,Lost / At-Risk Customers
12814,102,1,125.92,0,Moderately Active / Potential Loyalists
12815,148,2,1063.46,0,Moderately Active / Potential Loyalists
12816,177,2,572.2,0,Moderately Active / Potential Loyalists
12817,282,3,690.98,0,Moderately Active / Potential Loyalists
12818,179,2,1517.88,0,Moderately Active / Potential Loyalists
12819,519,1,540.52,2,Lost / At-Risk Customers
12820,45,12,2437.59,3,Best / Loyal Customers
12821,96,2,220.8,0,Moderately Active / Potential Loyalists
12822,71,3,918.98,0,Moderately Active / Potential Loyalists
12824,30,1,397.12,0,Moderately Active / Potential Loyalists
12825,494,2,518.63,2,Lost / At-Risk Customers
12826,60,14,2631.09,3,Best / Loyal Customers
12827,45,3,430.15,0,Moderately Active / Potential Loyalists
12828,113,5,935.09,0,Moderately Active / Potential Loyalists
12829,162,4,345.35,0,Moderately Active / Potential Loyalists
12831,263,3,451.11,0,Moderately Active / Potential Loyalists
12832,152,2,383.03,0,Moderately Active / Potential Loyalists
12833,146,1,417.38,0,Moderately Active / Potential Loyalists
12834,310,1,312.38,2,Lost / At-Risk Customers
12837,174,2,662.66,0,Moderately Active / Potential Loyalists
12838,182,12,2953.46,3,Best / Loyal Customers
12842,71,4,1917.99,0,Moderately Active / Potential Loyalists
12844,60,4,648.6,0,Moderately Active / Potential Loyalists
12845,268,4,354.09,0,Moderately Active / Potential Loyalists
12846,683,1,15.58,1,Churned / Problematic / Inactive
12847,23,2,1609.0,0,Moderately Active / Potential Loyalists
12848,676,1,208.0,2,Lost / At-Risk Customers
12849,121,6,3042.47,3,Best / Loyal Customers
12850,446,1,330.0,2,Lost / At-Risk Customers
12851,245,2,280.76,0,Moderately Active / Potential Loyalists
12852,291,2,299.75,2,Lost / At-Risk Customers
12854,6,11,2899.32,3,Best / Loyal Customers
12855,425,4,612.84,2,Lost / At-Risk Customers
12856,19,8,2153.53,3,Best / Loyal Customers
12858,384,2,121.08,2,Lost / At-Risk Customers
12859,519,1,575.1,2,Lost / At-Risk Customers
12860,694,1,54.22,2,Lost / At-Risk Customers
12861,620,1,68.25,2,Lost / At-Risk Customers
12862,426,2,984.62,2,Lost / At-Risk Customers
12863,53,7,2775.55,3,Best / Loyal Customers
12864,139,2,299.57,0,Moderately Active / Potential Loyalists
12865,27,5,3303.31,3,Best / Loyal Customers
12866,341,3,1227.35,2,Lost / At-Risk Customers
12868,9,8,2043.76,3,Best / Loyal Customers
12869,682,1,337.67,2,Lost / At-Risk Customers
12870,376,4,1662.05,2,Lost / At-Risk Customers
12871,85,3,744.02,0,Moderately Active / Potential Loyalists
12872,327,13,3276.81,3,Best / Loyal Customers
12873,310,3,2027.3,0,Moderately Active / Potential Loyalists
12874,386,3,933.42,2,Lost / At-Risk Customers
12875,144,5,1356.99,0,Moderately Active / Potential Loyalists
12878,19,3,841.64,0,Moderately Active / Potential Loyalists
12879,45,4,552.57,0,Moderately Active / Potential Loyalists
12880,382,2,640.13,2,Lost / At-Risk Customers
12881,98,1,298.0,0,Moderately Active / Potential Loyalists
12882,10,2,1463.04,0,Moderately Active / Potential Loyalists
12883,25,4,703.47,0,Moderately Active / Potential Loyalists
12884,1,1,309.05,0,Moderately Active / Potential Loyalists
12885,32,4,1158.27,0,Moderately Active / Potential Loyalists
12886,66,3,1351.09,0,Moderately Active / Potential Loyalists
12887,384,1,222.4,2,Lost / At-Risk Customers
12888,96,4,313.77,0,Moderately Active / Potential Loyalists
12889,382,6,365.66,2,Lost / At-Risk Customers
12890,25,2,706.02,0,Moderately Active / Potential Loyalists
12891,157,12,819.5,3,Best / Loyal Customers
12892,486,1,263.38,2,Lost / At-Risk Customers
12893,90,1,176.55,0,Moderately Active / Potential Loyalists
12894,576,1,157.35,2,Lost / At-Risk Customers
12895,43,3,347.3,0,Moderately Active / Potential Loyalists
12896,819,1,-29.75,1,Churned / Problematic / Inactive
12897,38,4,514.25,0,Moderately Active / Potential Loyalists
12898,660,2,296.21,2,Lost / At-Risk Customers
12899,414,1,366.4,2,Lost / At-Risk Customers
12900,423,1,340.33,2,Lost / At-Risk Customers
12902,265,1,138.68,2,Lost / At-Risk Customers
12903,518,1,833.53,2,Lost / At-Risk Customers
12904,19,2,496.06,0,Moderately Active / Potential Loyalists
12905,370,3,1011.82,2,Lost / At-Risk Customers
12906,12,5,2919.81,3,Best / Loyal Customers
12907,455,3,440.36,2,Lost / At-Risk Customers
12908,0,7,1272.0,3,Best / Loyal Customers
12909,40,13,3034.77,3,Best / Loyal Customers
12911,552,1,1651.72,2,Lost / At-Risk Customers
12912,15,4,1474.38,0,Moderately Active / Potential Loyalists
12914,608,1,223.98,2,Lost / At-Risk Customers
12915,149,8,885.2,3,Best / Loyal Customers
12919,3,8,1301.44,3,Best / Loyal Customers
12920,18,4,486.64,0,Moderately Active / Potential Loyalists
12922,337,1,405.38,2,Lost / At-Risk Customers
12923,183,3,770.42,0,Moderately Active / Potential Loyalists
12924,1,14,2423.15,3,Best / Loyal Customers
12925,75,2,403.59,0,Moderately Active / Potential Loyalists
12926,412,4,1523.97,2,Lost / At-Risk Customers
12927,425,1,197.31,2,Lost / At-Risk Customers
12929,93,2,105.1,0,Moderately Active / Potential Loyalists
12930,79,4,409.9,0,Moderately Active / Potential Loyalists
12932,434,8,1698.56,3,Best / Loyal Customers
12933,25,11,1576.88,3,Best / Loyal Customers
12936,18,5,1012.9,0,Moderately Active / Potential Loyalists
12937,16,9,3097.61,3,Best / Loyal Customers
12938,26,1,114.14,0,Moderately Active / Potential Loyalists
12940,47,4,862.44,0,Moderately Active / Potential Loyalists
12941,725,1,377.49,2,Lost / At-Risk Customers
12942,132,3,675.6,0,Moderately Active / Potential Loyalists
12943,38,4,489.0,0,Moderately Active / Potential Loyalists
12944,243,2,604.51,0,Moderately Active / Potential Loyalists
12945,289,2,900.11,0,Moderately Active / Potential Loyalists
12946,437,1,324.45,2,Lost / At-Risk Customers
12947,65,11,1407.29,3,Best / Loyal Customers
12948,17,10,2306.18,3,Best / Loyal Customers
12950,25,2,1483.0,0,Moderately Active / Potential Loyalists
12952,44,5,1382.84,0,Moderately Active / Potential Loyalists
12953,10,2,828.81,0,Moderately Active / Potential Loyalists
12954,402,1,162.45,2,Lost / At-Risk Customers
12956,191,4,521.89,0,Moderately Active / Potential Loyalists
12958,584,2,467.34,2,Lost / At-Risk Customers
12959,367,2,133.35,2,Lost / At-Risk Customers
12960,400,4,1322.07,2,Lost / At-Risk Customers
12961,380,1,211.99,2,Lost / At-Risk Customers
12962,114,2,266.39,0,Moderately Active / Potential Loyalists
12963,11,14,3146.99,3,Best / Loyal Customers
12964,438,1,132.24,2,Lost / At-Risk Customers
12965,31,1,769.81,0,Moderately Active / Potential Loyalists
12966,10,1,160.18,0,Moderately Active / Potential Loyalists
12967,69,4,2908.57,0,Moderately Active / Potential Loyalists
12968,113,1,135.95,0,Moderately Active / Potential Loyalists
12969,603,1,122.45,2,Lost / At-Risk Customers
12970,301,10,1453.6,3,Best / Loyal Customers
12972,414,6,1115.95,2,Lost / At-Risk Customers
12973,414,1,385.55,2,Lost / At-Risk Customers
12974,198,2,408.95,0,Moderately Active / Potential Loyalists
12975,437,8,1993.99,3,Best / Loyal Customers
12976,5,8,3156.38,3,Best / Loyal Customers
12977,186,4,513.88,0,Moderately Active / Potential Loyalists
12978,386,6,2496.07,3,Best / Loyal Customers
12979,789,2,479.54,2,Lost / At-Risk Customers
12981,60,2,372.22,0,Moderately Active / Potential Loyalists
12982,36,17,2562.12,3,Best / Loyal Customers
12983,599,1,490.08,2,Lost / At-Risk Customers
12984,19,1,97.5,0,Moderately Active / Potential Loyalists
12985,29,1,754.38,0,Moderately Active / Potential Loyalists
12986,414,12,1998.34,3,Best / Loyal Customers
12987,74,6,1298.51,3,Best / Loyal Customers
12988,293,1,505.82,2,Lost / At-Risk Customers
12990,121,7,955.5,3,Best / Loyal Customers
12991,24,3,764.82,0,Moderately Active / Potential Loyalists
12992,726,1,93.35,2,Lost / At-Risk Customers
12993,24,10,1191.26,3,Best / Loyal Customers
12994,32,4,573.27,0,Moderately Active / Potential Loyalists
12995,78,2,200.72,0,Moderately Active / Potential Loyalists
12996,376,1,355.5,2,Lost / At-Risk Customers
12997,1,16,2065.11,3,Best / Loyal Customers
12998,493,4,897.38,2,Lost / At-Risk Customers
12999,128,3,455.88,0,Moderately Active / Potential Loyalists
13000,107,5,965.0,0,Moderately Active / Potential Loyalists
13002,319,3,414.13,2,Lost / At-Risk Customers
13003,33,3,149.05,0,Moderately Active / Potential Loyalists
13005,128,6,935.03,0,Moderately Active / Potential Loyalists
